year,delta_vv_km2,delta_vh_km2,delta_vh_only_km2,delta_vh_gain_pct,delta_vv_scenes,delta_vh_scenes,ts_vv_km2,ts_vh_km2,ts_vh_only_km2,ts_vh_gain_pct,ts_vv_scenes,ts_vh_scenes
2015,33664.581621330726,39263.4411312101,6664.942924893435,14.259726984115254,14,14,3892.226790523822,4982.14893377617,1249.0293189809415,21.876546802189893,10,10
2016,36979.498246219504,41105.05172424984,5999.669319617638,10.036609382482478,25,25,5898.124854872737,7430.943820472904,2092.380554001774,20.62751384793296,25,25
2017,46451.23147494217,48699.005286760104,3923.6754148457776,4.615646251051949,69,69,8076.0271916477195,10357.122466686036,2765.323769796301,22.02441153298632,53,53
2018,47339.1142710033,50513.345701485436,4819.636002982444,6.283946126318039,87,87,12174.103642446009,15662.879523404565,3979.982220420666,22.274166609947958,96,96
2019,46878.71022461779,51048.84996518948,5150.049155107601,8.168920050922472,85,85,10445.25092213797,14813.895928231967,4922.582899274589,29.490182915139417,93,93
2020,44932.79552872075,48493.98654882918,5144.30084246446,7.34357241701015,79,79,5921.985055628732,10199.831465175743,4739.0421535230735,41.94036366338435,98,98
2021,44916.200405643176,48029.214020063104,4760.334938623547,6.481500224258381,75,75,8692.58127769225,12975.420469567363,4861.045926797887,33.00732490265046,90,90
2022,43176.226938312604,46918.926529285985,4857.923618868343,7.976950599322115,51,51,8961.275772416733,12896.920843989767,4217.9084171306995,30.516160556317022,46,46
2023,44267.207222315104,47666.07366130298,4573.477405036042,7.130577742020311,48,48,7306.194704570472,10711.631726078887,3782.8350471785943,31.7919539113488,47,47
2024,44320.5611464834,47048.45562073217,4542.919650550468,5.798053173602388,47,47,8195.937695489603,11576.851789553228,4024.3320298470503,29.204088948556024,48,48
