year,aoi,vv_km2,vh_km2,vh_only_km2,missed_by_vv_pct,cropland_flooded_km2,vv_scene_count,vh_scene_count,vv_quality,vh_quality
2015,Mekong_Delta,32899.78409735666,38090.145778911836,6126.964988670084,13.626520916149277,2779.056461850423,14,14,good,good
2016,Mekong_Delta,35747.19360187097,39636.23344697637,5552.075744613637,9.811830002232648,2241.782301332064,25,25,good,good
2017,Mekong_Delta,44723.52306674862,46709.389677073996,3479.4079749081843,4.251536198727266,2464.3363064207806,69,69,good,good
2018,Mekong_Delta,45569.4264014492,48396.36388850557,4270.316791897312,5.841218760915599,2967.2239197437852,87,87,good,good
2019,Mekong_Delta,45073.092550565016,48808.84255096381,4607.767580818299,7.653838536527695,3122.965549304837,85,85,good,good
2020,Mekong_Delta,43392.39644879754,46554.38843218554,4569.806152539549,6.7920384949186525,3405.022942953132,79,79,good,good
2021,Mekong_Delta,43421.39726611368,46222.73583314063,4234.011510785607,6.060520902829067,2930.733461730504,75,75,good,good
2022,Mekong_Delta,41862.81204283526,45176.773833465406,4304.420708735839,7.335543265763864,3009.136521108228,51,51,good,good
2023,Mekong_Delta,42809.09957334548,45814.15260218217,4059.0480025417337,6.559224296759251,2744.4379817870426,48,48,good,good
2024,Mekong_Delta,42889.22541308629,45300.691904700194,4022.253451196138,5.3232442821998,2744.410324190356,47,47,good,good
2015,Tonle_Sap,3812.7264885171703,4866.138056745412,1202.0620248969176,21.647794533244046,816.2963153209422,10,10,good,good
2016,Tonle_Sap,5753.247086703462,7239.783585528256,2013.695767206453,20.53288584200584,1557.4195723720425,25,25,good,good
2017,Tonle_Sap,7839.311014878044,10065.472559909018,2653.9530922910894,22.11681102681478,1976.041178721517,53,53,good,good
2018,Tonle_Sap,11822.903737450353,15095.684563460536,3708.3594673945045,21.68024121232651,2840.664719507737,96,96,good,good
2019,Tonle_Sap,10092.71057675592,14199.021099159443,4605.490054160183,28.919673361472846,3617.762045199356,93,93,good,good
2020,Tonle_Sap,5653.269191322608,9674.766789467067,4430.157176591165,41.56686859390419,3322.4125095826503,98,98,good,good
2021,Tonle_Sap,8392.485085313721,12427.937108329943,4555.56079414708,32.470811429448105,3370.472887053707,90,90,good,good
2022,Tonle_Sap,8706.905098474886,12485.271514766264,4022.1016584541003,30.262589098064257,3171.8797428508024,46,46,good,good
2023,Tonle_Sap,7081.008123256823,10320.213443643088,3575.469939903304,31.386999291003125,2779.1580577765576,47,47,good,good
2024,Tonle_Sap,7946.664151963753,11141.461177643136,3788.9698998005556,28.67484771288509,2812.757571735668,48,48,good,good
