year,aoi,vh_only_km2,cropland_flooded_km2,cropland_flooded_ha,production_at_risk_ton,value_at_risk_million_usd
2015,Mekong_Delta,2252.0268956729196,1463.817482187398,146381.74821873978,1006374.519003836,402.5498076015344
2016,Mekong_Delta,226.49956442511757,147.22471687632643,14722.471687632642,101216.99285247442,40.486797140989765
2017,Mekong_Delta,889.8167015994622,578.3808560396504,57838.085603965046,397636.83852725965,159.05473541090387
2018,Mekong_Delta,1678.1563084851732,1090.8016005153627,109080.16005153627,749926.1003543118,299.9704401417247
2019,Mekong_Delta,1851.963541169549,1203.776301760207,120377.6301760207,827596.2074601423,331.03848298405694
2020,Mekong_Delta,2091.654057364838,1359.5751372871448,135957.5137287145,934707.906884912,373.8831627539648
2021,Mekong_Delta,2179.5406100909386,1416.7013965591102,141670.139655911,973982.2101343883,389.59288405375537
2022,Mekong_Delta,2161.1426905449844,1404.7427488542398,140474.27488542398,965760.6398372898,386.3042559349159
2023,Mekong_Delta,2436.2733544759467,1583.5776804093655,158357.76804093656,1088709.655281439,435.4838621125756
2024,Mekong_Delta,2272.2383194054055,1476.9549076135136,147695.49076135136,1015406.4989842906,406.16259959371627
2015,Tonle_Sap,6976.3784916848,3139.37032125816,313937.032125816,1186681.9814355844,450.9391529455221
2016,Tonle_Sap,4950.89373082728,2227.902178872276,222790.21788722763,842147.0236137204,320.0158689732138
2017,Tonle_Sap,4545.248119984033,2045.361653992815,204536.1653992815,773146.7052092842,293.795747979528
2018,Tonle_Sap,5173.857893818411,2328.236052218285,232823.60522182847,880073.2277385117,334.42782654063444
2019,Tonle_Sap,4605.794326788982,2072.607447055042,207260.7447055042,783445.6149868061,297.7093336949863
2020,Tonle_Sap,5903.225934120852,2656.4516703543836,265645.16703543835,1004138.731393957,381.57271792970363
2021,Tonle_Sap,4576.591935098022,2059.46637079411,205946.63707941098,778478.2881601736,295.82174950086596
2022,Tonle_Sap,5618.494182377461,2528.322382069857,252832.23820698573,955705.8604224061,363.1682269605143
2023,Tonle_Sap,6924.879929548213,3116.195968296696,311619.5968296696,1177922.076016151,447.6103888861374
2024,Tonle_Sap,5810.3226445363325,2614.64519004135,261464.51900413499,988335.8818356303,375.5676350975395
