year,month,date,vv_km2,vh_km2,vh_only_km2,precip_mm,precip_mm_per_day,vv_scene_count,vh_scene_count,vv_quality,vh_quality,days_in_month,aoi
2019,7,2019-07-01,39627.001483351945,43178.167042128654,0.0,199.58701526433694,6.438290814978611,39,39,good,good,31,Mekong_Delta
2019,8,2019-08-01,39588.80946499094,43133.79848965982,0.0,257.05509027779715,8.292099686380553,42,42,good,good,31,Mekong_Delta
2019,9,2019-09-01,44049.10095186474,48615.230112094934,0.0,196.51045862503412,6.550348620834471,43,43,good,good,30,Mekong_Delta
2019,10,2019-10-01,46611.40584850214,49733.501582326986,0.0,204.7610381823136,6.6051947800746325,41,41,good,good,31,Mekong_Delta
2019,11,2019-11-01,45065.83332972455,48365.76947925542,0.0,122.594882016531,4.0864960672177,40,40,good,good,30,Mekong_Delta
2019,12,2019-12-01,40886.026734840925,46769.21420973831,0.0,9.194558124558979,0.2965986491793219,39,39,good,good,31,Mekong_Delta
2020,1,2020-01-01,40760.154656784696,44017.207124933375,0.0,5.5444374189160355,0.1788528199650334,38,38,good,good,31,Mekong_Delta
2020,2,2020-02-01,41379.236769271076,44817.963068071986,0.0,1.2329080317347878,0.04251407005982027,38,38,good,good,29,Mekong_Delta
2020,3,2020-03-01,41753.70941691676,47009.553852935984,0.0,12.572683324367034,0.40557042981829144,41,41,good,good,31,Mekong_Delta
2019,7,2019-07-01,5239.518647579055,10608.282412426262,0.0,216.83195385306468,6.994579156550474,39,39,good,good,31,Tonle_Sap
2019,8,2019-08-01,5416.822307948657,9089.47153185174,0.0,226.15144931226695,7.295208042331192,46,46,good,good,31,Tonle_Sap
2019,9,2019-09-01,9168.836313457628,12356.74130106043,0.0,296.0874431977533,9.86958143992511,47,47,good,good,30,Tonle_Sap
2019,10,2019-10-01,8487.313004350954,10765.830574776124,0.0,105.23363487045859,3.394633382918019,48,48,good,good,31,Tonle_Sap
2019,11,2019-11-01,6810.244331554527,9221.66996357066,0.0,38.90229820415275,1.2967432734717583,48,48,good,good,30,Tonle_Sap
2019,12,2019-12-01,6546.433036514391,10683.804383363802,0.0,4.3602372426421105,0.14065281427877777,50,50,good,good,31,Tonle_Sap
2020,1,2020-01-01,8855.531327397,15253.642097283486,0.0,2.128126305513624,0.06864923566172981,48,48,good,good,31,Tonle_Sap
2020,2,2020-02-01,11182.35410128394,18451.957854719654,0.0,4.888758917320498,0.16857789370070683,46,46,good,good,29,Tonle_Sap
2020,3,2020-03-01,12628.977131619022,20705.113485468006,0.0,25.571576892979003,0.824889577192871,50,50,good,good,31,Tonle_Sap
