year,dry_vh_km2,flood_vh_km2,flood_vv_km2,precip_dry_mm,precip_wet_mm
2015,9046.042883210128,4982.148933792589,3892.2267905413396,76.057222892089,470.79258598445426
2016,15559.713397111283,7430.943820494515,5898.124854894832,48.13523872707266,587.7070399428268
2017,12090.301556525757,10357.122466724433,8076.027191679886,137.20711462339327,547.2407972405547
2018,15803.683970623175,15662.87952345259,12174.10364248776,143.9130409375184,506.97448727045924
2019,21690.87542815596,14813.895928273174,10445.250922172088,147.82946560285362,529.7715362432689
2020,23137.618508656567,10199.83146520205,5921.985055647531,125.16933045304286,488.7168215934026
2021,20263.3968314713,12975.420469600642,8692.581277716603,158.26311397233303,640.2881505414131
2022,12152.993440891552,12896.920844034319,8961.275772451592,194.82138907419767,833.2738088820176
2023,17477.192285842157,10711.631726106907,7306.19470459635,76.6836194059776,460.4511689045005
2024,19953.15409115881,11576.851789594672,8195.93769552257,40.99202912297314,556.3449533991119
