year,flood_area_km2,precipitation_mm,sm_index,dam_events_count
2015,30487.150326737217,475.26674397287167,,0
2016,32954.10044683008,482.70139562455773,,0
2017,37655.389057468215,445.7469389505659,,0
2018,38087.10414855807,457.4901511273976,,0
2019,38119.520445882095,449.1641304492959,,3
2020,35453.85279353448,543.5300461721774,,1
2021,35747.63136176735,522.0466176720138,,0
2022,32351.182668352118,486.2991502207363,,0
2023,33525.07821869794,446.2440853019554,,0
2024,33509.44822725609,559.3315987311466,,0
