lon,lat,vv,vh,cell_id
104.55000000000001,8.549999999999976,-22.144432448176346,-35.968629678921175,104.5_8.5
104.55000000000001,8.649999999999975,-22.309120114774718,-35.796489618297706,104.5_8.6
104.55000000000001,8.749999999999975,-22.07502819066524,-35.43452596018978,104.5_8.7
104.55000000000001,8.849999999999975,-21.934302561982218,-35.23019362420998,104.5_8.8
104.55000000000001,8.949999999999974,-21.168036177731565,-34.603027783868335,104.5_8.9
104.55000000000001,9.049999999999974,-20.835801956525216,-34.67162173890945,104.5_9.0
104.55000000000001,9.149999999999974,-20.704019596855616,-34.21083162767971,104.5_9.1
104.55000000000001,9.249999999999973,-20.90723797230968,-33.78482838840168,104.5_9.2
104.55000000000001,9.349999999999973,-20.082780713430456,-33.53385990380667,104.5_9.3
104.55000000000001,9.449999999999973,-19.73908892219661,-33.16174790093222,104.5_9.4
104.55000000000001,9.549999999999972,-19.6444655724709,-32.76350482851941,104.5_9.5
104.55000000000001,9.649999999999972,-18.91273170026556,-31.798401684325626,104.5_9.6
104.55000000000001,9.749999999999972,-18.42947014367754,-31.445734668141995,104.5_9.7
104.55000000000001,9.849999999999971,-18.281937370681213,-31.160291758029665,104.5_9.8
104.55000000000001,9.94999999999997,-18.556850426336563,-30.998818489632598,104.5_9.9
104.55000000000001,10.04999999999997,-17.381243548901832,-30.123670509038735,104.5_10.0
104.55000000000001,10.14999999999997,-16.736657187786776,-28.524273173776713,104.5_10.1
104.55000000000001,10.24999999999997,-14.294713508038845,-26.05131409544925,104.5_10.2
104.55000000000001,10.34999999999997,-11.611390632685902,-19.58477336271268,104.5_10.3
104.55000000000001,10.449999999999969,-10.314761800500172,-17.626567021969656,104.5_10.4
104.55000000000001,10.549999999999969,-8.408306660889695,-16.002276988294916,104.5_10.5
104.55000000000001,10.649999999999968,-7.90793455348198,-15.900857115024962,104.5_10.6
104.55000000000001,10.749999999999968,-7.949021121133833,-16.085612800508756,104.5_10.7
104.55000000000001,10.849999999999968,-8.241886904985062,-16.138561543203632,104.5_10.8
104.55000000000001,10.949999999999967,-7.827299670639503,-15.300980096753968,104.5_10.9
104.55000000000001,11.049999999999967,-8.092617841004527,-15.742551681991653,104.5_11.0
104.65,8.549999999999976,-21.504304647294596,-35.58244205495103,104.6_8.5
104.65,8.649999999999975,-21.424756740000905,-34.86698645324252,104.6_8.6
104.65,8.749999999999975,-21.08336813885797,-35.32658576491627,104.6_8.7
104.65,8.849999999999975,-20.78988487329398,-34.88199145356349,104.6_8.8
104.65,8.949999999999974,-20.737145289752455,-34.47053287502738,104.6_8.9
104.65,9.049999999999974,-20.521712122416428,-34.22195316087395,104.6_9.0
104.65,9.149999999999974,-20.573986577204035,-33.628191869128784,104.6_9.1
104.65,9.249999999999973,-20.292816544532414,-33.42409673833631,104.6_9.2
104.65,9.349999999999973,-20.055614442116116,-32.89434811153144,104.6_9.3
104.65,9.449999999999973,-19.457857290898623,-32.85621103481819,104.6_9.4
104.65,9.549999999999972,-19.41060696336827,-32.73163200295488,104.6_9.5
104.65,9.649999999999972,-18.155086979479247,-31.607186006647204,104.6_9.6
104.65,9.749999999999972,-17.804572371249908,-30.900901143148115,104.6_9.7
104.65,9.849999999999971,-17.14685136568833,-29.820271900972454,104.6_9.8
104.65,9.94999999999997,-17.694822832325215,-31.387860274915248,104.6_9.9
104.65,10.04999999999997,-17.550173875392478,-31.474754669924888,104.6_10.0
104.65,10.14999999999997,-14.448583187607616,-25.052014422919726,104.6_10.1
104.65,10.24999999999997,-9.8415216895081,-17.147031448887738,104.6_10.2
