AOI,Flood_var,Rain_var,Method,r,p_value,N,ci_lower,ci_upper,interpretation,significant,p_adjusted,significant_adjusted
Mekong_Delta,Flood(VH),Precip(JJ),Pearson,-0.040344369616583026,0.9118901983325021,10,-0.6533737508836212,0.6046409451969247,negligible,False,0.9118901983325021,False
Mekong_Delta,Flood(VH),Precip(JJ),Spearman,-0.35757575757575755,0.3103760917056799,10,,,moderate,False,0.9118901983325021,False
Mekong_Delta,Flood(VH),Precip(JJ),Kendall,-0.24444444444444444,0.38071979717813054,10,,,weak,False,0.9118901983325021,False
Mekong_Delta,Flood(VH),Precip(AS),Pearson,-0.08204178298335302,0.8217366913376135,10,-0.6767120717667252,0.5774110697873228,negligible,False,0.9118901983325021,False
Mekong_Delta,Flood(VH),Precip(AS),Spearman,-0.35757575757575755,0.3103760917056799,10,,,moderate,False,0.9118901983325021,False
Mekong_Delta,Flood(VH),Precip(AS),Kendall,-0.15555555555555553,0.6006536596119929,10,,,weak,False,0.9118901983325021,False
Mekong_Delta,Flood(VV),Precip(AS),Pearson,-0.041704497865825974,0.9089299161097844,10,-0.6541538634198786,0.6037759002713867,negligible,False,0.9118901983325021,False
Mekong_Delta,Flood(VV),Precip(AS),Spearman,-0.24848484848484845,0.48877630451924314,10,,,weak,False,0.9118901983325021,False
Mekong_Delta,Flood(VV),Precip(AS),Kendall,-0.06666666666666667,0.8618005952380953,10,,,negligible,False,0.9118901983325021,False
Tonle_Sap,Flood(VH),Precip(JJ),Pearson,-0.15956557175072839,0.6597025815513626,10,-0.7171429049547013,0.5225606639637984,weak,False,0.9118901983325021,False
Tonle_Sap,Flood(VH),Precip(JJ),Spearman,-0.17575757575757575,0.6271883447764844,10,,,weak,False,0.9118901983325021,False
Tonle_Sap,Flood(VH),Precip(JJ),Kendall,-0.1111111111111111,0.7274895282186948,10,,,weak,False,0.9118901983325021,False
Tonle_Sap,Flood(VH),Precip(AS),Pearson,0.26309427952877396,0.46269067097152194,10,-0.4393030435338409,0.7658557495147277,weak,False,0.9118901983325021,False
Tonle_Sap,Flood(VH),Precip(AS),Spearman,0.2727272727272727,0.44583834154275137,10,,,weak,False,0.9118901983325021,False
Tonle_Sap,Flood(VH),Precip(AS),Kendall,0.15555555555555553,0.6006536596119929,10,,,weak,False,0.9118901983325021,False
Tonle_Sap,Flood(VV),Precip(AS),Pearson,0.23279997249410825,0.5174634049001106,10,-0.4649819856168044,0.7521747635398106,weak,False,0.9118901983325021,False
Tonle_Sap,Flood(VV),Precip(AS),Spearman,0.34545454545454546,0.32822651147136733,10,,,moderate,False,0.9118901983325021,False
Tonle_Sap,Flood(VV),Precip(AS),Kendall,0.24444444444444444,0.38071979717813054,10,,,weak,False,0.9118901983325021,False
